中文名称,链接,评分,评语
少年派的奇幻漂流,https://movie.douban.com/subject/1929463/,9.1,瑰丽壮观、无人能及的冒险之旅。
钢琴家,https://movie.douban.com/subject/1296736/,9.3,
指环王2：双塔奇兵,https://movie.douban.com/subject/1291572/,9.2,承前启后的史诗篇章。
死亡诗社,https://movie.douban.com/subject/1291548/,9.2,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。
大话西游之月光宝盒,https://movie.douban.com/subject/1299398/,9.0,
何以为家,https://movie.douban.com/subject/30170448/,9.1,凝视卑弱生命，用电影改变命运。
绿皮书,https://movie.douban.com/subject/27060077/,8.9,去除成见，需要勇气。
闻香识女人,https://movie.douban.com/subject/1298624/,9.1,
大闹天宫,https://movie.douban.com/subject/1418019/,9.4,
黑客帝国,https://movie.douban.com/subject/1291843/,9.1,
指环王1：护戒使者,https://movie.douban.com/subject/1291571/,9.1,
罗马假日,https://movie.douban.com/subject/1293839/,9.1,
教父2,https://movie.douban.com/subject/1299131/,9.3,
狮子王,https://movie.douban.com/subject/1301753/,9.1,
天堂电影院,https://movie.douban.com/subject/1291828/,9.2,
饮食男女,https://movie.douban.com/subject/1291818/,9.2,
辩护人,https://movie.douban.com/subject/21937445/,9.2,电影的现实意义大过电影本身。
本杰明·巴顿奇事,https://movie.douban.com/subject/1485260/,9.0,在时间之河里感受溺水之苦。
搏击俱乐部,https://movie.douban.com/subject/1292000/,9.0,
美丽心灵,https://movie.douban.com/subject/1306029/,9.1,
穿条纹睡衣的男孩,https://movie.douban.com/subject/3008247/,9.2,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。
情书,https://movie.douban.com/subject/1292220/,8.9,
哈利·波特与死亡圣器(下),https://movie.douban.com/subject/3011235/,9.0,10年的完美句点。
两杆大烟枪,https://movie.douban.com/subject/1293350/,9.1,
窃听风暴,https://movie.douban.com/subject/1900841/,9.2,别样人生。
音乐之声,https://movie.douban.com/subject/1294408/,9.1,
功夫,https://movie.douban.com/subject/1291543/,8.9,警恶惩奸，维护世界和平这个任务就交给你了，好吗？
西西里的美丽传说,https://movie.douban.com/subject/1292402/,8.9,
哈利·波特与阿兹卡班的囚徒,https://movie.douban.com/subject/1291544/,9.0,不一样的导演，不一样的哈利·波特。
阿凡达,https://movie.douban.com/subject/1652587/,8.8,绝对意义上的美轮美奂。
看不见的客人,https://movie.douban.com/subject/26580232/,8.8,你以为你以为的就是你以为的。
拯救大兵瑞恩,https://movie.douban.com/subject/1292849/,9.1,
沉默的羔羊,https://movie.douban.com/subject/1293544/,8.9,
小鞋子,https://movie.douban.com/subject/1303021/,9.2,
布达佩斯大饭店,https://movie.douban.com/subject/11525673/,8.9,小清新的故事里注入了大历史的情怀。
飞越疯人院,https://movie.douban.com/subject/1292224/,9.1,
蝴蝶效应,https://movie.douban.com/subject/1292343/,8.9,人的命运被自己瞬间的抉择改变。
禁闭岛,https://movie.douban.com/subject/2334904/,8.9,昔日翩翩少年，今日大腹便便。
心灵捕手,https://movie.douban.com/subject/1292656/,9.0,
致命魔术,https://movie.douban.com/subject/1780330/,8.9,孪生蝙蝠侠大战克隆金刚狼。
低俗小说,https://movie.douban.com/subject/1291832/,8.9,
还有明天,https://movie.douban.com/subject/36445098/,9.3,
超脱,https://movie.douban.com/subject/5322596/,9.0,穷尽一生，我们要学会的，不过是彼此拥抱。
哈利·波特与密室,https://movie.douban.com/subject/1296996/,8.9,
喜剧之王,https://movie.douban.com/subject/1302425/,8.8,
一一,https://movie.douban.com/subject/1292434/,9.1,
摩登时代,https://movie.douban.com/subject/1294371/,9.3,
杀人回忆,https://movie.douban.com/subject/1300299/,8.9,
致命ID,https://movie.douban.com/subject/1297192/,8.9,
春光乍泄,https://movie.douban.com/subject/1292679/,9.0,
加勒比海盗,https://movie.douban.com/subject/1298070/,8.8,
海豚湾,https://movie.douban.com/subject/3442220/,9.3,海豚的微笑，是世界上最高明的伪装。
美国往事,https://movie.douban.com/subject/1292262/,9.1,
红辣椒,https://movie.douban.com/subject/1865703/,9.0,梦的勾结。
七宗罪,https://movie.douban.com/subject/1292223/,8.8,
唐伯虎点秋香,https://movie.douban.com/subject/1306249/,8.8,
狩猎,https://movie.douban.com/subject/6985810/,9.1,人言可畏。
幽灵公主,https://movie.douban.com/subject/1297359/,8.9,
甜蜜蜜,https://movie.douban.com/subject/1305164/,8.9,
寄生虫,https://movie.douban.com/subject/27010768/,8.8,
蝙蝠侠：黑暗骑士崛起,https://movie.douban.com/subject/3395373/,8.9,诺兰就是保证。
天书奇谭,https://movie.douban.com/subject/1428581/,9.2,
7号房的礼物,https://movie.douban.com/subject/10777687/,8.9,《我是山姆》的《美丽人生》。
超能陆战队,https://movie.douban.com/subject/11026735/,8.8,Balalala~~~
爱在黎明破晓前,https://movie.douban.com/subject/1296339/,8.8,
第六感,https://movie.douban.com/subject/1297630/,8.9,
爱在日落黄昏时,https://movie.douban.com/subject/1291990/,8.9,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。
被嫌弃的松子的一生,https://movie.douban.com/subject/1787291/,8.8,以戏谑来戏谑戏谑。
茶馆,https://movie.douban.com/subject/1461403/,9.6,
重庆森林,https://movie.douban.com/subject/1291999/,8.8,
未麻的部屋,https://movie.douban.com/subject/1395091/,9.1,
哈利·波特与火焰杯,https://movie.douban.com/subject/1309055/,8.8,
头脑特工队,https://movie.douban.com/subject/10533913/,8.8,愿我们都不用长大，每一座城堡都能永远存在。
入殓师,https://movie.douban.com/subject/2149806/,8.9,死可能是一道门，逝去并不是终结，而是超越，走向下一程。
借东西的小人阿莉埃蒂,https://movie.douban.com/subject/4202302/,8.9,曾经的那段美好会沉淀为一辈子的记忆。
菊次郎的夏天,https://movie.douban.com/subject/1293359/,8.9,
剪刀手爱德华,https://movie.douban.com/subject/1292370/,8.7,
断背山,https://movie.douban.com/subject/1418834/,8.8,每个人心中都有一座断背山。
勇敢的心,https://movie.douban.com/subject/1294639/,8.9,
时空恋旅人,https://movie.douban.com/subject/10577869/,8.8,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。
消失的爱人,https://movie.douban.com/subject/21318488/,8.7,年度最佳date movie。
倩女幽魂,https://movie.douban.com/subject/1297447/,8.8,
无人知晓,https://movie.douban.com/subject/1292337/,9.1,我的平常生活就是他人的幸福。
驯龙高手,https://movie.douban.com/subject/2353023/,8.8,和谐的生活离不开摸头与被摸头。
花样年华,https://movie.douban.com/subject/1291557/,8.8,
傲慢与偏见,https://movie.douban.com/subject/1418200/,8.7,爱是摈弃傲慢与偏见之后的曙光。
新世界,https://movie.douban.com/subject/10437779/,8.9,要做就做得狠一点，这样才能活下去。
完美的世界,https://movie.douban.com/subject/1300992/,9.1,
阳光灿烂的日子,https://movie.douban.com/subject/1291875/,8.8,
一个叫欧维的男人决定去死,https://movie.douban.com/subject/26628357/,8.9,惠及一生的美丽。
玩具总动员3,https://movie.douban.com/subject/1858711/,8.9,跨度十五年的欢乐与泪水。
小森林 夏秋篇,https://movie.douban.com/subject/25814705/,9.0,那些静得只能听见呼吸的日子里，你明白孤独即生活。
天使爱美丽,https://movie.douban.com/subject/1292215/,8.7,
怪兽电力公司,https://movie.douban.com/subject/1291579/,8.8,
色，戒,https://movie.douban.com/subject/1828115/,8.7,假戏真情，爱欲深海
教父3,https://movie.douban.com/subject/1294240/,9.0,
侧耳倾听,https://movie.douban.com/subject/1297052/,8.9,
请以你的名字呼唤我,https://movie.douban.com/subject/26799731/,8.8,沉醉在电影的情感和视听氛围中无法自拔。
哪吒闹海,https://movie.douban.com/subject/1307315/,9.2,
幸福终点站,https://movie.douban.com/subject/1292274/,8.8,有时候幸福需要等一等。 
九品芝麻官,https://movie.douban.com/subject/1297518/,8.8,
被解救的姜戈,https://movie.douban.com/subject/6307447/,8.8,热血沸腾，那个低俗、性感的无耻混蛋又来了。
釜山行,https://movie.douban.com/subject/25986180/,8.6,揭露人性的丧尸题材力作。
小森林 冬春篇,https://movie.douban.com/subject/25814707/,9.0,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。
神偷奶爸,https://movie.douban.com/subject/3287562/,8.7,Mr. I Don't Care其实也有Care的时候。
喜宴,https://movie.douban.com/subject/1303037/,9.0,
萤火之森,https://movie.douban.com/subject/5989818/,8.8,触不到的恋人。
告白,https://movie.douban.com/subject/4268598/,8.8,没有一人完全善，也没有一人完全恶。
玛丽和麦克斯,https://movie.douban.com/subject/3072124/,9.0,你是我最好的朋友，你是我唯一的朋友 。
头号玩家,https://movie.douban.com/subject/4920389/,8.6,写给影迷，动漫迷和游戏迷的一封情书。
七武士,https://movie.douban.com/subject/1295399/,9.3,
模仿游戏,https://movie.douban.com/subject/10463953/,8.8,他给机器起名“克里斯托弗”，因为这是他初恋的名字。
大鱼,https://movie.douban.com/subject/1291545/,8.8,
惊魂记,https://movie.douban.com/subject/1293181/,9.0,
射雕英雄传之东成西就,https://movie.douban.com/subject/1316510/,8.7,
血战钢锯岭,https://movie.douban.com/subject/26325320/,8.7,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。
你的名字。,https://movie.douban.com/subject/26683290/,8.5,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。
我是山姆,https://movie.douban.com/subject/1306861/,9.0,
心灵奇旅,https://movie.douban.com/subject/24733428/,8.7,
背靠背，脸对脸,https://movie.douban.com/subject/1307856/,9.5,
阳光姐妹淘,https://movie.douban.com/subject/4917726/,8.8,再多各自牛逼的时光，也比不上一起傻逼的岁月。 
恐怖直播,https://movie.douban.com/subject/21360417/,8.7,恐怖分子的“秋菊打官司”。
黑客帝国3：矩阵革命,https://movie.douban.com/subject/1302467/,8.8,
三块广告牌,https://movie.douban.com/subject/26611804/,8.7,怼天怼地，你走后，她与世界为敌。
电锯惊魂,https://movie.douban.com/subject/1417598/,8.7,真相就在眼前。
小丑,https://movie.douban.com/subject/27119724/,8.7,
谍影重重3,https://movie.douban.com/subject/1578507/,8.9,像吃了苏打饼一样干脆的电影。
达拉斯买家俱乐部,https://movie.douban.com/subject/1793929/,8.8,Jared Leto的腿比女人还美！
无间道2,https://movie.douban.com/subject/1307106/,8.8,
疯狂原始人,https://movie.douban.com/subject/1907966/,8.7,老少皆宜，这就是好莱坞动画的魅力。
末路狂花,https://movie.douban.com/subject/1291992/,9.0,
高山下的花环,https://movie.douban.com/subject/1422283/,9.5,
绿里奇迹,https://movie.douban.com/subject/1300374/,8.9,
爱在午夜降临前,https://movie.douban.com/subject/10808442/,8.9,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。
海街日记,https://movie.douban.com/subject/25895901/,8.8,是枝裕和的家庭习作。
疯狂的石头,https://movie.douban.com/subject/1862151/,8.6,中国版《两杆大烟枪》。
风之谷,https://movie.douban.com/subject/1291585/,8.9,
上帝之城,https://movie.douban.com/subject/1292208/,9.0,
雨中曲,https://movie.douban.com/subject/1293460/,9.1,
2001太空漫游,https://movie.douban.com/subject/1292226/,8.9,
心迷宫,https://movie.douban.com/subject/25917973/,8.7,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。
英雄本色,https://movie.douban.com/subject/1297574/,8.6,
机器人之梦,https://movie.douban.com/subject/35426925/,9.1,
记忆碎片,https://movie.douban.com/subject/1304447/,8.7,
纵横四海,https://movie.douban.com/subject/1295409/,8.8,
卢旺达饭店,https://movie.douban.com/subject/1291822/,8.9,当这个世界闭上双眼，他却敞开了怀抱。
无敌破坏王,https://movie.douban.com/subject/6534248/,8.7,迪士尼和皮克斯拿错剧本的产物。
小偷家族,https://movie.douban.com/subject/27622447/,8.7,我们组成了家。
恐怖游轮,https://movie.douban.com/subject/3011051/,8.5,不要企图在重复中寻找已经失去的爱。
冰川时代,https://movie.douban.com/subject/1291578/,8.7,
牯岭街少年杀人事件,https://movie.douban.com/subject/1292329/,8.9,
东京教父,https://movie.douban.com/subject/1310177/,9.0,
魔女宅急便,https://movie.douban.com/subject/1307811/,8.7,
岁月神偷,https://movie.douban.com/subject/3792799/,8.7,岁月流逝，来日可追。
芙蓉镇,https://movie.douban.com/subject/1297880/,9.3,
忠犬八公物语,https://movie.douban.com/subject/1959195/,9.2,
荒蛮故事,https://movie.douban.com/subject/24750126/,8.7,始于荒诞，止于更荒诞。
遗愿清单,https://movie.douban.com/subject/1867345/,8.7,用剩余不多的时间，去燃烧整个生命。
大佛普拉斯,https://movie.douban.com/subject/27059130/,8.7,人们可以登上月球，却永远无法探索人们内心的宇宙。
源代码,https://movie.douban.com/subject/3075287/,8.6,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。
疯狂的麦克斯4：狂暴之路,https://movie.douban.com/subject/3592854/,8.7,“多么美好的一天！”轰轰轰砰咚，啪哒哒哒轰隆隆，磅~
你看起来好像很好吃,https://movie.douban.com/subject/4848115/,8.9,感情不分食草或者食肉。
贫民窟的百万富翁,https://movie.douban.com/subject/2209573/,8.6,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁
花束般的恋爱,https://movie.douban.com/subject/34874432/,8.6,
可可西里,https://movie.douban.com/subject/1308857/,8.9,坚硬的信仰。
城市之光,https://movie.douban.com/subject/1293908/,9.3,
白日梦想家,https://movie.douban.com/subject/2133323/,8.6,
波西米亚狂想曲,https://movie.douban.com/subject/5300054/,8.6,
东邪西毒,https://movie.douban.com/subject/1292328/,8.6,
爆裂鼓手,https://movie.douban.com/subject/25773932/,8.6,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。
青蛇,https://movie.douban.com/subject/1303394/,8.6,
爱乐之城,https://movie.douban.com/subject/25934014/,8.4,
哈利·波特与死亡圣器(上),https://movie.douban.com/subject/2051007/,8.6,最忠于原著的一部。
无耻混蛋,https://movie.douban.com/subject/1438652/,8.7,昆汀同学越来越变态了，比北野武还杜琪峰。
终结者2：审判日,https://movie.douban.com/subject/1291844/,8.8,
黑天鹅,https://movie.douban.com/subject/1978709/,8.6,黑暗之美。
大红灯笼高高挂,https://movie.douban.com/subject/1293323/,8.8,
初恋这件小事,https://movie.douban.com/subject/4739952/,8.5,黑小鸭速效美白记。
新龙门客栈,https://movie.douban.com/subject/1292287/,8.7,
人工智能,https://movie.douban.com/subject/1302827/,8.7,
雨人,https://movie.douban.com/subject/1291870/,8.7,
崖上的波妞,https://movie.douban.com/subject/1959877/,8.6,
千钧一发,https://movie.douban.com/subject/1300117/,8.8,
虎口脱险,https://movie.douban.com/subject/1296909/,8.9,
罗生门,https://movie.douban.com/subject/1291879/,8.8,
真爱至上,https://movie.douban.com/subject/1292401/,8.5,
哈利·波特与凤凰社,https://movie.douban.com/subject/1457217/,8.6,
彗星来的那一夜,https://movie.douban.com/subject/25807345/,8.6,小成本大魅力。
恋恋笔记本,https://movie.douban.com/subject/1309163/,8.5,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 
海边的曼彻斯特,https://movie.douban.com/subject/25980443/,8.6,我们都有权利不与自己的过去和解。
火星救援,https://movie.douban.com/subject/25864085/,8.5,
黑客帝国2：重装上阵,https://movie.douban.com/subject/1304141/,8.7,
步履不停,https://movie.douban.com/subject/2222996/,8.8,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。
奇迹男孩,https://movie.douban.com/subject/26787574/,8.6,世界不完美，爱会有奇迹。
千年女优,https://movie.douban.com/subject/1307394/,8.8,
战争之王,https://movie.douban.com/subject/1419936/,8.7,做一颗让别人需要你的棋子。
萤火虫之墓,https://movie.douban.com/subject/1293318/,8.7,
谍影重重2,https://movie.douban.com/subject/1308767/,8.7,谁说王家卫镜头很晃？
冰雪奇缘,https://movie.douban.com/subject/4202982/,8.5,
蜘蛛侠：平行宇宙,https://movie.douban.com/subject/26374197/,8.6,
攻壳机动队,https://movie.douban.com/subject/1291936/,9.0,
血钻,https://movie.douban.com/subject/1428175/,8.7,每个美丽事物背后都是滴血的现实。
魂断蓝桥,https://movie.douban.com/subject/1293964/,8.8,
隐藏人物,https://movie.douban.com/subject/26615208/,8.9,
房间,https://movie.douban.com/subject/25724855/,8.7,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。
小姐,https://movie.douban.com/subject/25977027/,8.5,
